A0A072THQ0	MTR_0046s0090
A0A072TU44	MTR_0046s0100
A0A072TIN4	MTR_0046s0180
A0A072TI38	MTR_0046s0210
A0A072TJK3	MTR_0047s0030
G7ZWB7	MTR_0047s0040
A0A072TU34	MTR_0047s0050
A0A072TIM8	MTR_0047s0090
A0A072TI31	MTR_0047s0100
A0A072TJK5	MTR_0047s0120
A0A072THP8	MTR_0047s0140
A0A072TU39	MTR_0047s0160
A0A072TIL2	MTR_0048s0010
A0A072TI11	MTR_0048s0020
A0A072TJJ8	MTR_0048s0080
A0A072THP0	MTR_0048s0090
A0A072TU24	MTR_0048s0110
A0A072TIM2	MTR_0048s0130
A0A072TI19	MTR_0048s0140
A0A072TJK0	MTR_0048s0160
A0A072THP2	MTR_0048s0180
A0A072TU30	MTR_0048s0210
A0A072TIM5	MTR_0048s0220
A0A072TI27	MTR_0048s0230
A0A072TI05	MTR_0049s0070
A0A072THM0	MTR_0049s0080
A0A072TU15	MTR_0049s0090
G8A0P8	MTR_0049s0100
A0A072TI09	MTR_0049s0110
A0A072TJI7	MTR_0050s0050
A0A072THZ7	MTR_0050s0010
A0A072THK8	MTR_0050s0080
A0A072TU07	MTR_0050s0090
A0A072TIJ0	MTR_0050s0100
A0A072TI01	MTR_0050s0130
A0A072TJJ0	MTR_0050s0150
A0A072THL6	MTR_0050s0160
A0A072TU10	MTR_0050s0180
I3SJT1	MTR_0050s0240
A0A072TJI4	MTR_0051s0090
A0A072THK4	MTR_0051s0100
A0A072TU01	MTR_0051s0110
A0A072TII7	MTR_0051s0120
A0A072THX9	MTR_0052s0020
A0A072TJH6	MTR_0052s0030
A0A072THI8	MTR_0052s0040
A0A072TTY7	MTR_0052s0060
A0A072TIH7	MTR_0052s0070
A0A072THY2	MTR_0052s0080
A0A072TJH8	MTR_0052s0090
A0A072THJ8	MTR_0052s0100
A0A072TTZ2	MTR_0052s0110
A0A072TII1	MTR_0052s0120
A0A072THZ1	MTR_0052s0130
A0A072TJI2	MTR_0052s0140
A0A072THK0	MTR_0052s0150
A0A072TTZ6	MTR_0052s0160
A0A072TII3	MTR_0052s0170
A0A072THZ5	MTR_0052s0190
A0A072TJH3	MTR_0053s0020
A0A072THI5	MTR_0053s0030
A0A072TTY3	MTR_0053s0040
A0A072TIH5	MTR_0053s0080
A0A072THW5	MTR_0054s0010
A0A072TJG2	MTR_0054s0050
A0A072THH5	MTR_0054s0080
A0A072TTX1	MTR_0054s0090
A0A072TIG5	MTR_0054s0100
A0A072THW7	MTR_0054s0110
A0A072TJG7	MTR_0054s0120
A0A072THH8	MTR_0054s0140
A0A072TTX6	MTR_0054s0190
A0A072TJH1	MTR_0054s0210
A0A072TIG9	MTR_0054s0220
A0A072THX3	MTR_0054s0230
