geneID	Description	Pathway	Pathway_map
112533159	uncharacterized LOC112533159	-	-
107054710	uncharacterized protein LOC107054710	-	-
107054716	uncharacterized protein LOC107054716 isoform X1	-	-
112530498	small nucleolar RNA SNORD58	-	-
107054715	LOW QUALITY PROTEIN: leukocyte receptor cluster member 9-like	-	-
112530496	U6 spliceosomal RNA	-	-
112530497	small nucleolar RNA SNORD58	-	-
112530494	uncharacterized LOC112530494	-	-
112530495	uncharacterized LOC112530495	-	-
112530492	LOW QUALITY PROTEIN: uncharacterized protein LOC112530492	-	-
112530493	uncharacterized protein LOC112530493	-	-
112530490	uncharacterized protein LOC112530490	-	-
112530491	uncharacterized LOC112530491	-	-
112532403	uncharacterized LOC112532403	-	-
112532402	uncharacterized LOC112532402	-	-
112532401	uncharacterized LOC112532401	-	-
112532400	uncharacterized LOC112532400	-	-
112532407	uncharacterized LOC112532407	-	-
112532406	uncharacterized LOC112532406	-	-
112532405	uncharacterized LOC112532405	-	-
112532404	uncharacterized LOC112532404	-	-
112532409	uncharacterized LOC112532409	-	-
112532408	uncharacterized LOC112532408	-	-
448833	BTC; probetacellulin precursor	ErbB signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04012/image
448832	MCAM; cell surface glycoprotein MUC18 precursor	-	-
407775	ST3GAL5; lactosylceramide alpha-2,3-sialyltransferase	Glycosphingolipid biosynthesis - ganglio series - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00604/image
407775	ST3GAL5; lactosylceramide alpha-2,3-sialyltransferase	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
407777	AvBD7; gallinacin-7 preproprotein	-	-
407776	AvBD6; gallinacin-6 preproprotein	-	-
407779	KRT5; keratin, type II cytoskeletal 5	-	-
407778	ST6GALNAC5; alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	Glycosphingolipid biosynthesis - ganglio series - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00604/image
407778	ST6GALNAC5; alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
100858359	BBIP1; BBSome-interacting protein 1	-	-
100858353	OR14J1L12; olfactory receptor 14J1-like	-	-
