geneID	Description	Pathway	Pathway_map
4341430	death-inducer obliterator 1	-	-
4341431	palmitoyl-acyl carrier protein thioesterase, chloroplastic	Fatty acid biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00061/image
4341431	palmitoyl-acyl carrier protein thioesterase, chloroplastic	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4341431	palmitoyl-acyl carrier protein thioesterase, chloroplastic	Fatty acid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01212/image
4341432	auxin-responsive protein IAA23	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04075/image
4341433	probable protein phosphatase 2C 57 isoform X1	-	-
4341435	pentatricopeptide repeat-containing protein At1g31430	-	-
4341436	6-hydroxynicotinate 3-monooxygenase	-	-
4341437	protein FAR1-RELATED SEQUENCE 5	-	-
4341438	uncharacterized protein LOC4341438	-	-
4342981	DEAD-box ATP-dependent RNA helicase 5	-	-
4342980	aspartokinase 2, chloroplastic isoform X1	Glycine, serine and threonine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00260/image
4342980	aspartokinase 2, chloroplastic isoform X1	Monobactam biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00261/image
4342980	aspartokinase 2, chloroplastic isoform X1	Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00270/image
4342980	aspartokinase 2, chloroplastic isoform X1	Lysine biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00300/image
4342980	aspartokinase 2, chloroplastic isoform X1	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4342980	aspartokinase 2, chloroplastic isoform X1	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4342980	aspartokinase 2, chloroplastic isoform X1	2-Oxocarboxylic acid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01210/image
4342980	aspartokinase 2, chloroplastic isoform X1	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01230/image
4345074	probable receptor-like serine/threonine-protein kinase At5g57670	-	-
4345075	cell wall integrity protein scw1	-	-
4345076	diacylglycerol kinase 4	Glycerolipid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00561/image
4345076	diacylglycerol kinase 4	Glycerophospholipid metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00564/image
4345076	diacylglycerol kinase 4	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4345076	diacylglycerol kinase 4	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4345076	diacylglycerol kinase 4	Phosphatidylinositol signaling system - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04070/image
107278279	auxin-responsive protein SAUR71-like	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa04075/image
107278278	cytosolic sulfotransferase 5-like	-	-
4337878	GDSL esterase/lipase At1g09390	-	-
107278270	peroxidase 2-like	Phenylpropanoid biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00940/image
107278270	peroxidase 2-like	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
107278270	peroxidase 2-like	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
107278273	putative B3 domain-containing protein Os10g0537100	-	-
107278275	putative cyclin-dependent kinase F-2	-	-
107278274	ammonium transporter 3 member 1-like	-	-
107278277	uncharacterized protein LOC107278277	-	-
4345071	aspartate carbamoyltransferase, chloroplastic	Pyrimidine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00240/image
4345071	aspartate carbamoyltransferase, chloroplastic	Alanine, aspartate and glutamate metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00250/image
4345071	aspartate carbamoyltransferase, chloroplastic	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4345072	ADP-ribosylation factor 3	-	-
4345073	zinc finger protein CONSTANS-LIKE 3	-	-
9272073	uncharacterized LOC9272073	-	-
4337871	putative protease Do-like 14	-	-
107277538	glycine-rich protein 3-like	-	-
107277537	RING-H2 finger protein ATL43-like	-	-
107277536	transcription factor TCP12-like	-	-
107277535	uncharacterized LOC107277535	-	-
107277534	uncharacterized protein LOC107277534	-	-
4337873	serine carboxypeptidase-like 33 isoform X2	-	-
107277531	uncharacterized protein LOC107277531	-	-
107277530	uncharacterized protein LOC107277530	-	-
107280827	putative disease resistance RPP13-like protein 2	-	-
4337872	uncharacterized protein LOC4337872	-	-
107280826	uncharacterized protein LOC107280826	-	-
