geneID	Description	Pathway	Pathway_map
Dmel_CG10489	DNApol-epsilon58; DNA polymerase epsilon 58kD subunit	Base excision repair - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03410/image
Dmel_CG10489	DNApol-epsilon58; DNA polymerase epsilon 58kD subunit	Nucleotide excision repair - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03420/image
Dmel_CG43690	fok; fledgling of Klp38B, isoform E	-	-
Dmel_CG17528	CG17528; uncharacterized protein, isoform D	-	-
Dmel_CG5001	CG5001; uncharacterized protein, isoform B	-	-
Dmel_CG34351	CG34351; uncharacterized protein, isoform C	-	-
Dmel_CG18617	Vha100-2; vacuolar H[+] ATPase 100kD subunit 2, isoform B	Oxidative phosphorylation - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00190/image
Dmel_CG18617	Vha100-2; vacuolar H[+] ATPase 100kD subunit 2, isoform B	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG18617	Vha100-2; vacuolar H[+] ATPase 100kD subunit 2, isoform B	Lysosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04142/image
Dmel_CG18617	Vha100-2; vacuolar H[+] ATPase 100kD subunit 2, isoform B	Phagosome - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04145/image
Dmel_CG18616	Not10; CCR4-NOT transcription complex subunit 10, isoform B	RNA degradation - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03018/image
Dmel_CG10546	Cralbp; cellular retinaldehyde binding protein	-	-
Dmel_CG18619	REPTOR-BP; REPTOR-binding partner, isoform A	-	-
Dmel_CG14813	deltaCOP; coat protein (coatomer) delta, isoform B	-	-
Dmel_CG14812	CG14812; uncharacterized protein, isoform B	mTOR signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04150/image
Dmel_CG4536	iav; inactive	-	-
Dmel_CG14810	CG14810; uncharacterized protein, isoform B	-	-
Dmel_CG14817	CG14817; uncharacterized protein, isoform B	-	-
Dmel_CG14816	Pgam5; phosphoglycerate mutase 5, isoform A	Mitophagy - animal - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04137/image
Dmel_CG4532	pod1; pod1, isoform F	-	-
Dmel_CG14814	CG14814; uncharacterized protein, isoform D	-	-
Dmel_CG31803	CG31803; uncharacterized protein	-	-
Dmel_CG14818	CG14818; uncharacterized protein, isoform B	-	-
Dmel_CG4538	CG4538; uncharacterized protein, isoform C	-	-
Dmel_CG4539	Bka; bekka	Ribosome biogenesis in eukaryotes - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03008/image
Dmel_CG5919	CG5919; uncharacterized protein, isoform B	Terpenoid backbone biosynthesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00900/image
Dmel_CG5919	CG5919; uncharacterized protein, isoform B	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CR45250	CR45250	-	-
Dmel_CG42349	Pkcdelta; protein kinase C delta, isoform D	Autophagy - animal - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04140/image
Dmel_CG42349	Pkcdelta; protein kinase C delta, isoform D	AGE-RAGE signaling pathway in diabetic complications - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04933/image
Dmel_CG5911	ETHR; ETHR, isoform C	-	-
Dmel_CG42345	laccase2; laccase 2, isoform D	-	-
Dmel_CG42346	CG42346; uncharacterized protein, isoform D	-	-
Dmel_CG42835	CG42835; uncharacterized protein	-	-
Dmel_CG42340	CG42340; uncharacterized protein, isoform C	-	-
Dmel_CG42833	CG42833; uncharacterized protein	-	-
Dmel_CG42342	CG42342; uncharacterized protein, isoform D	-	-
Dmel_CG5916	CG5916; uncharacterized protein, isoform B	-	-
Dmel_CG9009	pdgy; pudgy, isoform B	-	-
Dmel_CG9008	CG9008; uncharacterized protein, isoform D	Glycolysis / Gluconeogenesis - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00010/image
Dmel_CG9008	CG9008; uncharacterized protein, isoform D	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG2248	Rac1; Rac1, isoform B	MAPK signaling pathway - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04013/image
